product_code,product_name,product_type,unit,unit_price,purchase_price,vat_rate,inventory_account,cost_account,stock_account,category,brand,origin,barcode,min_stock,max_stock,lead_time_days
SP001,iPhone 15 Pro Max 256GB,GOODS,chiếc,28990000,22000000,10,1561,632,1561,Điện tử,Apple,NK,1234567890123,5,500,7
SP002,Samsung Galaxy S24 Ultra,GOODS,chiếc,24990000,19000000,10,1561,632,1561,Điện tử,Samsung,NK,1234567890124,10,300,7
SP003,iPad Air 2024,GOODS,chiếc,14990000,11000000,10,1561,632,1561,Điện tử,Apple,NK,1234567890125,8,200,10
SP004,Tivi Samsung 55 inch 4K,GOODS,chiếc,12990000,9500000,10,1561,632,1561,Điện tử,Samsung,NK,1234567890126,5,100,14
SP005,Nồi cơm điện Sharp,GOODS,chiếc,4500000,3200000,10,1561,632,1561,Gia dụng,Sharp,TN,1234567890127,20,500,5
SP006,Điều hòa Daikin 12000BTU,GOODS,chiếc,18990000,14000000,10,1561,632,1561,Gia dụng,Daikin,NK,1234567890129,3,150,7
SP007,Tai nghe AirPods Pro 2,GOODS,chiếc,6900000,4800000,10,1561,632,1561,Điện tử,Apple,NK,1234567890132,50,2000,7
SP008,Dầu ăn Tường An 5L,GOODS,chai,250000,180000,5,1561,632,1561,Thực phẩm,Tường An,TN,1234567890140,500,20000,2
SP009,Nước mắm Nam Ngư 1L,GOODS,chai,85000,60000,5,1561,632,1561,Thực phẩm,Nam Ngư,TN,1234567890141,1000,50000,2
SP010,Gạo ST25 5kg,GOODS,bao,185000,135000,5,1561,632,1561,Thực phẩm,Lộc Phát,TN,1234567890142,200,10000,2
